"group","voices_per_group","ru.ua","Year","step"
"10",1354487,"ru",2006,34.1525843833333
"11",1264684,"ru",2006,35.3510237526667
"9",788466,"ru",2006,32.954145014
"13",1023821,"ru",2006,37.7479024913333
"12",1237086,"ru",2006,36.549463122
"6",495426,"ru",2006,29.358826906
"5",279797,"ru",2006,28.1603875366667
"7",790956,"ru",2006,30.5572662753333
"2",179877,"ru",2006,24.5650694286667
"3",176490,"ru",2006,25.763508798
"4",329343,"ru",2006,26.9619481673333
"14",1585077,"ru",2006,38.9463418606667
"8",978045,"ru",2006,31.7557056446667
"15",542323,"ru",2006,40.14478123
"1",120266,"ru",2006,23.3666300593333
"10",600549,"ua",2006,34.1525843833333
"11",679340,"ua",2006,35.3510237526667
"9",621901,"ua",2006,32.954145014
"13",90348,"ua",2006,37.7479024913333
"12",323892,"ua",2006,36.549463122
"6",587580,"ua",2006,29.358826906
"5",423824,"ua",2006,28.1603875366667
"7",1073550,"ua",2006,30.5572662753333
"2",1196451,"ua",2006,24.5650694286667
"3",1276426,"ua",2006,25.763508798
"4",940529,"ua",2006,26.9619481673333
"14",85423,"ua",2006,38.9463418606667
"8",949971,"ua",2006,31.7557056446667
"15",36963,"ua",2006,40.14478123
"1",355507,"ua",2006,23.3666300593333
"10",1184402,"ru",2007,34.1525843833333
"11",1121008,"ru",2007,35.3510237526667
"9",669456,"ru",2007,32.954145014
"13",967825,"ru",2007,37.7479024913333
"12",1096648,"ru",2007,36.549463122
"6",431009,"ru",2007,29.358826906
"5",228384,"ru",2007,28.1603875366667
"7",677403,"ru",2007,30.5572662753333
"2",157082,"ru",2007,24.5650694286667
"3",149683,"ru",2007,25.763508798
"4",282684,"ru",2007,26.9619481673333
"14",1489975,"ru",2007,38.9463418606667
"8",852754,"ru",2007,31.7557056446667
"15",507630,"ru",2007,40.14478123
"1",108381,"ru",2007,23.3666300593333
"10",650221,"ua",2007,34.1525843833333
"11",715425,"ua",2007,35.3510237526667
"9",644936,"ua",2007,32.954145014
"13",106727,"ua",2007,37.7479024913333
"12",358038,"ua",2007,36.549463122
"6",634864,"ua",2007,29.358826906
"5",441565,"ua",2007,28.1603875366667
"7",1109007,"ua",2007,30.5572662753333
"2",1353335,"ua",2007,24.5650694286667
"3",1339024,"ua",2007,25.763508798
"4",968522,"ua",2007,26.9619481673333
"14",96506,"ua",2007,38.9463418606667
"8",974216,"ua",2007,31.7557056446667
"15",40357,"ua",2007,40.14478123
"1",380181,"ua",2007,23.3666300593333
"10",1046342,"ru",2012,34.1525843833333
"11",1103495,"ru",2012,35.3510237526667
"12",904064,"ru",2012,36.549463122
"13",930694,"ru",2012,37.7479024913333
"9",565229,"ru",2012,32.954145014
"6",380164,"ru",2012,29.358826906
"5",232439,"ru",2012,28.1603875366667
"7",603905,"ru",2012,30.5572662753333
"2",157961,"ru",2012,24.5650694286667
"3",175456,"ru",2012,25.763508798
"4",292244,"ru",2012,26.9619481673333
"14",1343100,"ru",2012,38.9463418606667
"8",726359,"ru",2012,31.7557056446667
"15",399668,"ru",2012,40.14478123
"1",147592,"ru",2012,23.3666300593333
"10",732326,"ua",2012,34.1525843833333
"11",923257,"ua",2012,35.3510237526667
"12",456728,"ua",2012,36.549463122
"13",194183,"ua",2012,37.7479024913333
"9",730201,"ua",2012,32.954145014
"6",666825,"ua",2012,29.358826906
"5",432933,"ua",2012,28.1603875366667
"7",1265876,"ua",2012,30.5572662753333
"2",1303798,"ua",2012,24.5650694286667
"3",1232900,"ua",2012,25.763508798
"4",913604,"ua",2012,26.9619481673333
"14",168311,"ua",2012,38.9463418606667
"8",1128422,"ua",2012,31.7557056446667
"15",64938,"ua",2012,40.14478123
"1",354942,"ua",2012,23.3666300593333
"6",853764,"ua",2014,29.358826906
"5",570742,"ua",2014,28.1603875366667
"7",1476135,"ua",2014,30.5572662753333
"2",1457870,"ua",2014,24.5650694286667
"3",1383430,"ua",2014,25.763508798
"4",1071107,"ua",2014,26.9619481673333
"11",1163006,"ua",2014,35.3510237526667
"10",874421,"ua",2014,34.1525843833333
"12",566911,"ua",2014,36.549463122
"13",259845,"ua",2014,37.7479024913333
"14",67314,"ua",2014,38.9463418606667
"1",453080,"ua",2014,23.3666300593333
"8",1358754,"ua",2014,31.7557056446667
"9",952965,"ua",2014,32.954145014
"15",11327,"ua",2014,40.14478123
"6",114423,"ru",2014,29.358826906
"5",41285,"ru",2014,28.1603875366667
"7",184195,"ru",2014,30.5572662753333
"2",34666,"ru",2014,24.5650694286667
"3",32640,"ru",2014,25.763508798
"4",56586,"ru",2014,26.9619481673333
"11",437782,"ru",2014,35.3510237526667
"10",258503,"ru",2014,34.1525843833333
"12",483996,"ru",2014,36.549463122
"13",323039,"ru",2014,37.7479024913333
"14",109658,"ru",2014,38.9463418606667
"1",23069,"ru",2014,23.3666300593333
"8",264153,"ru",2014,31.7557056446667
"9",191428,"ru",2014,32.954145014
"15",15964,"ru",2014,40.14478123
"5",201691,"ua",2019,28.1603875366667
"7",563075,"ua",2019,30.5572662753333
"6",320325,"ua",2019,29.358826906
"2",695702,"ua",2019,24.5650694286667
"3",588810,"ua",2019,25.763508798
"4",382135,"ua",2019,26.9619481673333
"10",245358,"ua",2019,34.1525843833333
"12",176570,"ua",2019,36.549463122
"11",327238,"ua",2019,35.3510237526667
"13",83366,"ua",2019,37.7479024913333
"14",29771,"ua",2019,38.9463418606667
"1",157016,"ua",2019,23.3666300593333
"8",474005,"ua",2019,31.7557056446667
"9",305623,"ua",2019,32.954145014
"15",4407,"ua",2019,40.14478123
"5",72905,"ru",2019,28.1603875366667
"7",277832,"ru",2019,30.5572662753333
"6",170139,"ru",2019,29.358826906
"2",79548,"ru",2019,24.5650694286667
"3",86566,"ru",2019,25.763508798
"4",107151,"ru",2019,26.9619481673333
"10",243215,"ru",2019,34.1525843833333
"12",439933,"ru",2019,36.549463122
"11",424354,"ru",2019,35.3510237526667
"13",425575,"ru",2019,37.7479024913333
"14",184038,"ru",2019,38.9463418606667
"1",61566,"ru",2019,23.3666300593333
"8",356745,"ru",2019,31.7557056446667
"9",233035,"ru",2019,32.954145014
"15",34498,"ru",2019,40.14478123
"5",246312,"undefined",2019,28.1603875366667
"7",643274,"undefined",2019,30.5572662753333
"6",359729,"undefined",2019,29.358826906
"2",311823,"undefined",2019,24.5650694286667
"3",388718,"undefined",2019,25.763508798
"4",407755,"undefined",2019,26.9619481673333
"10",624727,"undefined",2019,34.1525843833333
"12",514599,"undefined",2019,36.549463122
"11",872846,"undefined",2019,35.3510237526667
"13",257271,"undefined",2019,37.7479024913333
"14",85327,"undefined",2019,38.9463418606667
"1",175126,"undefined",2019,23.3666300593333
"8",752512,"undefined",2019,31.7557056446667
"9",556616,"undefined",2019,32.954145014
"15",14016,"undefined",2019,40.14478123
